Metal_Type,Concentration_mg_L,Frequency_Hz,Real_Impedance_ohm,Imag_Impedance_ohm,Magnitude_ohm,Phase_deg,Charge_Transfer_Resistance_ohm,Double_Layer_Capacitance_F,Temperature_C,pH,Conductivity_uS_cm,Target,regulatory_threshold_mg_L,exceedance_ratio,Contamination_Status_Regulatory,Safety_Status_Regulatory,Real_Impedance_abs,Imag_Impedance_abs,Impedance_real_imag_ratio,Impedance_magnitude_log1p,Frequency_log10,Charge_Transfer_Resistance_log1p,Capacitance_log10_abs,Conductance_proxy,Phase_rad,Phase_sin,Phase_cos,Temp_pH_interaction,Conductivity_pH_ratio,Rct_Cdl_product,Normalized_Rct_by_Z
Cu,1.4424188836392045,10000,688.4487030444266,-221.85702752554135,723.3133189607543,-17.861870128979383,759.1138283914573,2.882178739804891e-06,33.601135588588306,7.185704009784443,572.2895842808696,2,2.0,0.7212094418196022,Safe,Safe,688.4487030444266,221.85702752554135,3.103118754992179,6.585224059767201,4.0,6.6334681962646265,-5.540128433121765,0.0013825267332770845,-0.3117484443143145,-0.30672327151987505,0.9517987364501725,241.44781473222974,79.64279956730284,0.002187901737281757,1.049495161351503
Cu,2.9753360159932942,1000,315.29814644401534,-117.15069502935847,336.3587467227417,-20.38281530446348,370.292831524392,2.258070288836421e-06,34.964755075632105,6.982535256980001,586.7315090816544,2,2.0,1.4876680079966471,Low contamination,Unsafe,315.29814644401534,117.15069502935847,2.691389465186774,5.8211468944762865,3.0,5.916991054571648,-5.646070256207173,0.0029730161910173853,-0.3557472378887782,-0.34829091311225824,0.9373864943786151,244.1426350672716,84.02843485983223,0.00083614724103434,1.1008865835396902
Cu,2.8881186793732265,1000,298.9588561489719,-83.48976125707888,310.39803141235564,-15.60336887785752,316.23491214878135,3.800750243321827e-06,22.461716593936856,6.606968417103122,549.417241878965,2,2.0,1.4440593396866133,Low contamination,Unsafe,298.9588561489719,83.48976125707888,3.5807846572329627,5.741071937646954,3.0,5.759642547224896,-5.42001641758893,0.0032216699166764517,-0.27233016132182664,-0.2689764521932967,0.9631467531822485,148.40385213006192,83.15723749693723,0.0012019299192963372,1.0188045030725494
Cu,1.0788536227370118,1000,957.3221135880918,-312.6683450483595,1007.0884385991388,-18.08741335878192,973.8357613816784,4.305076599450325e-06,20.817838383174195,7.118122575530503,446.2656624613917,2,2.0,0.5394268113685059,Safe,Safe,957.3221135880918,312.6683450483595,3.0617813691276097,6.915811181488169,3.0,6.88226900694363,-5.365918248915062,0.0009929614537031207,-0.31568491627995093,-0.31046761442647647,0.9505839575715197,148.18392536901766,62.694293005404994,0.004192437548032154,0.9669813732896368
Hg,0.3675088276320598,100,2655.166478314164,-804.8424815056864,2774.469399290515,-16.863272052272443,3152.514001677391,3.925380380741087e-06,24.945966607193185,7.338997153101389,466.8001437653188,3,0.006,61.25147127200996,Heavy contamination,Unsafe,2655.166478314164,804.8424815056864,3.298988981475757,7.928575164773279,2.0,8.056272666137417,-5.406007629021644,0.00036042927712785685,-0.2943196199716954,-0.2900887938109896,0.9569997344332365,183.0783779115531,63.605440084473685,0.012374816612196006,1.1362583427600295
Cd,0.9327234856740992,10000,1110.9305050790556,-353.1826307217014,1165.7206173688048,-17.63629531415488,1194.9604773991434,4.9573331473131015e-06,26.924887711421228,6.053386317173708,407.1618588835461,0,0.003,310.9078285580331,Heavy contamination,Unsafe,1110.9305050790556,353.1826307217014,3.145484540974763,7.061952201199175,4.0,7.086704888311667,-5.304664296612365,0.0008578384778475332,-0.3078114210860503,-0.30297365034075163,0.9529989334722259,162.98674686375577,67.26183287875567,0.005923817184339862,1.0250830770200428
Hg,0.1312589053073001,10000,7568.419851094982,-2259.5322916026894,7898.510316461193,-16.62285946474666,8440.915694675588,2.0901905915721167e-06,23.072318706137818,6.931743457815351,566.290646849071,3,0.006,21.876484217883352,Heavy contamination,Unsafe,7568.419851094982,2259.5322916026894,3.3495515329516894,8.97455605127587,4.0,9.040964539876516,-5.679606383683531,0.00012660615229124727,-0.2901236287561315,-0.2860706894176772,0.9582085162719516,159.93139424790155,81.69526904936139,0.017643122569264334,1.0686718579176766
Hg,0.3055753537486833,10000,3234.8934712242085,-934.4394393819327,3367.1520363716027,-16.112023109048195,3747.3026196057554,4.499957980097686e-06,24.521373676978374,6.115366569167088,569.922237302216,3,0.006,50.92922562478054,Heavy contamination,Unsafe,3234.8934712242085,934.4394393819327,3.461854599545162,8.122119515783872,4.0,8.229058381722616,-5.346695041515396,0.00029698688660262856,-0.2812078524103044,-0.27751625982082834,0.9607209405103329,149.9571888142474,93.19510625618051,0.016862704326935884,1.1128997381545875
Hg,0.4619697339146188,10000,2091.304712978506,-653.4231735496184,2191.0082716087054,-17.35129028143088,2226.952451727772,4.066490660697945e-06,23.013061035374864,6.372810828136222,526.5420619932386,3,0.006,76.99495565243647,Heavy contamination,Unsafe,2091.304712978506,653.4231735496184,3.20053649400682,7.692573421604903,4.0,7.708838259584156,-5.390673435566765,0.0004564108739148269,-0.30283714488026237,-0.29822944167611704,0.9544942116731518,146.6578845547967,82.62320600917738,0.009055881346769377,1.0164053146598386
Cu,1.0678919571715977,10,911.3542128168932,-310.4666335030193,962.785558542398,-18.81218832474778,1041.890126604539,2.4487150302325847e-06,31.613908526486767,7.121017468155946,470.5055702527703,2,2.0,0.5339459785857988,Safe,Safe,911.3542128168932,310.4666335030193,2.935433681008091,6.870868820220138,1.0,6.949751105831934,-5.610884433184702,0.0010386528870591951,-0.328334625772085,-0.322467065223795,0.9465806842768094,225.1231948537965,66.07280101343991,0.0025512920128674655,1.0821621879962748
Pb,1.54613040087026,10,695.5415995408368,-211.1602175692524,726.8884055862494,-16.887821465738973,714.3794882228913,3.936498174627875e-06,30.68866914870891,7.732377830531162,415.3622055279841,1,0.01,154.613040087026,Heavy contamination,Unsafe,695.5415995408368,211.1602175692524,3.293904541036155,6.590147747416845,1.0,6.5728131546538675,-5.40477963453548,0.0013757269923601342,-0.29474808806611985,-0.29049881102305875,0.9568753527989887,237.2963849739824,53.71726713019846,0.002812153551381007,0.9827911447366502
Cd,0.3676141066352957,10000,2746.0252197447817,-823.4936100042793,2866.844298735503,-16.693234241175112,2906.005214980837,1.416303825672988e-06,29.524272736414726,7.76561135837697,550.6115219829819,0,0.003,122.53803554509857,Heavy contamination,Unsafe,2746.0252197447817,823.4936100042793,3.334604162535247,7.961315911101974,4.0,7.974878694496323,-5.848537040599915,0.00034881559505716005,-0.2913519003151629,-0.2872474135995118,0.957856421067579,229.2740277097217,70.90382154112295,0.004115786303403013,1.0136599383027511
Pb,1.886594293064796,100,578.9767745261115,-169.31984622268752,603.2274162913473,-16.301384704733056,595.7335939961004,4.15733392936221e-06,25.80826785618807,6.139888020277263,545.3052387219846,1,0.01,188.6594293064796,Heavy contamination,Unsafe,578.9767745261115,169.31984622268752,3.419426531732308,6.403950644108717,2.0,6.3914707725848,-5.381080638175249,0.0016577495866258198,-0.2845128357318355,-0.2806899050836729,0.959798508638203,158.4598746343159,88.81354787453375,0.002476663483180879,0.9875771191861493
Hg,0.4869762103244155,10,2079.595529397113,-632.8050691238208,2173.7432740315176,-16.924605408534973,2417.0018179094704,3.1293224103484105e-06,33.63561411971354,6.8382101725734135,582.5205043477802,3,0.006,81.16270172073592,Heavy contamination,Unsafe,2079.595529397113,632.8050691238208,3.2863130067419113,7.684665901628076,1.0,7.790696782998057,-5.5044109296023755,0.0004600359260203239,-0.29539008897977526,-0.29111306596486586,0.9566886551143667,230.00739863417905,85.18610711892977,0.007563577954636954,1.1119076694947896
Hg,0.4749199201010453,1000,2050.434651074721,-619.1431812989249,2141.8731375309944,-16.802060509942507,2141.7401924635783,2.169160690837013e-06,34.542988123025296,7.166012966009102,546.1064042010725,3,0.006,79.15332001684088,Heavy contamination,Unsafe,2050.434651074721,619.1431812989249,3.3117293592246653,7.669902795182307,3.0,7.669840752689333,-5.663508107368047,0.0004668810596094711,-0.29325127701781417,-0.2890662245349559,0.9573091025541889,247.5355007742977,76.2078448246239,0.004645778635477692,0.999937930465588
Pb,1.2113213249861956,10,809.0053214707395,-235.3513882304098,842.5436998221254,-16.22048006120056,925.0819802637084,3.623109207136721e-06,22.60458968938118,6.294139809100686,565.7389884488003,1,0.01,121.13213249861955,Heavy contamination,Unsafe,809.0053214707395,235.3513882304098,3.4374359443985227,6.737611708376266,1.0,6.830962762329765,-5.44079872398025,0.001186882057524054,-0.28310078332204114,-0.2793343399043828,0.9601939004962398,142.276447832321,89.88344801952378,0.003351673040049712,1.0979632041138165
Pb,1.7930639764839702,1000,518.694628051427,-134.7997705625313,535.9245238959674,-14.567921831453496,616.5513903115951,3.5664799948576367e-06,23.34518962117817,7.530864433489543,549.1909235807999,1,0.01,179.30639764839702,Heavy contamination,Unsafe,518.694628051427,134.7997705625313,3.847889546718224,6.285857533226433,3.0,6.425762288215948,-5.447638453573455,0.001865934390776736,-0.25425820113202596,-0.25152752776191,0.967850144794111,175.8094582111999,72.92534985301792,0.0021989181993479663,1.1504444428636158
Pb,1.7668240978026055,10000,632.5160448112891,-228.8557888497524,672.6451657700062,-19.89104370343385,699.2809228596018,1.8379448908783988e-06,27.884465420005544,7.488470516874478,526.1374376624633,1,0.01,176.68240978026054,Heavy contamination,Unsafe,632.5160448112891,228.8557888497524,2.763819294183476,6.512703512001545,4.0,6.551481572907585,-5.7354312854144665,0.0014866679356176891,-0.3471642042830072,-0.34023256316392486,0.9403413225860628,208.81199717651742,70.25966603014707,0.0012852397994585368,1.0395985260045166
Hg,0.193595212959465,10,5105.577546296747,-1539.0520526696532,5332.504411819664,-16.775182970321346,5657.009729966933,1.1215896592461044e-06,21.36875853923368,7.806682027413589,485.39327883820187,3,0.006,32.265868826577496,Heavy contamination,Unsafe,5105.577546296747,1539.0520526696532,3.3173520917874413,8.581763789255533,1.0,8.640827471543126,-5.949778962608988,0.00018752914630192915,-0.2927821754565897,-0.28861711755142594,0.9574445986355067,166.81910323637624,62.17664265965237,0.00634484361538551,1.0608542052824057
Hg,0.4230119633678048,100,2408.6842192365198,-718.3290898921344,2513.5147402361304,-16.605879320618715,2630.7810752396203,2.7344903476066955e-06,26.546725982346693,6.016972024166886,580.4234617284555,3,0.006,70.50199389463413,Heavy contamination,Unsafe,2408.6842192365198,718.3290898921344,3.35317649407023,7.829835117689142,2.0,7.875416110885269,-5.562964813326119,0.00039784926819472633,-0.2898272693336357,-0.28578670273668316,0.9582932539358162,159.73090756900424,96.46437764721982,0.007193845456909105,1.0466543255646183
Cd,0.1333068712439433,10,7546.136481506934,-2282.2004665442946,7883.692965040232,-16.82704734145939,8037.978781512192,3.278047477377685e-06,28.72686897166565,6.433368487978005,530.1937143814939,0,0.003,44.4356237479811,Heavy contamination,Unsafe,7546.136481506934,2282.2004665442946,3.306517806882223,8.972678559519172,1.0,8.992057336880789,-5.484252295128783,0.0001268441077594363,-0.2936873794974249,-0.28948368190701707,0.9571829490278005,184.81053360058692,82.41308037769801,0.026348876067951398,1.019570246730195
Cd,0.6366428906338477,10,1662.2202969164332,-464.0426964395839,1725.7786473357107,-15.59815974411497,1820.3489862631957,4.506421113482394e-06,27.83110356706,7.6543734284906435,479.6710643931818,0,0.003,212.21429687794924,Heavy contamination,Unsafe,1662.2202969164332,464.0426964395839,3.5820417165627436,7.454012898151841,1.0,7.507332706760371,-5.346071865333035,0.0005794485877683324,-0.2722392447868424,-0.26888888511628173,0.9631712036086435,213.02965962927524,62.666274230247645,0.008203259105602738,1.0547986493357242
Hg,0.1535039767794663,10,6494.004877619905,-1960.909660890546,6783.602733704634,-16.802053715567457,7276.931888581175,4.7128671825903786e-06,24.963628746170397,7.341160101653871,416.6938590363915,3,0.006,25.58399612991105,Heavy contamination,Unsafe,6494.004877619905,1960.909660890546,3.3117307783915675,8.822411019884898,1.0,8.892602019593163,-5.3266226582734495,0.00014741429285522687,-0.29325115843359895,-0.2890661110132052,0.9573091368328736,183.26199534388576,56.76130927668425,0.03429521348763965,1.0727237685108446
Pb,0.6808503286659182,10000,1504.3676938957467,-452.13616190886967,1570.8434891302477,-16.728096479930468,1801.0264674211498,3.115220872627066e-06,28.1366870911581,7.788779707396982,458.1409711808764,1,0.01,68.08503286659182,Heavy contamination,Unsafe,1504.3676938957467,452.13616190886967,3.3272448006395745,7.360004406410584,4.0,7.496667125863498,-5.506371767827587,0.0006366006587664875,-0.2919603611660602,-0.28783017852352094,0.9576814649616636,219.15045744899084,58.82063536691898,0.005610595243464156,1.1465346356161839
Pb,0.6154298024438137,100,1738.9632785098008,-510.5685416160945,1812.366828126564,-16.36250956989458,2065.110905018264,4.01521393507418e-06,34.38201431388272,6.114359309060533,508.74534696603297,1,0.01,61.542980244381376,Heavy contamination,Unsafe,1738.9632785098008,510.5685416160945,3.405935024907884,7.50294052240461,2.0,7.6334233292737865,-5.396183161314338,0.0005517646783643375,-0.2855796658837417,-0.28171368714790873,0.9594985140548838,210.22398928434131,83.20501317757792,0.008291862083302985,1.1394552542940886
Cd,0.7266598982903257,10,1345.2775230791751,-415.4089526997904,1407.954620037584,-17.16019242329449,1577.244522328766,2.757213089311988e-06,23.09026106437064,7.193927931432886,455.1270740032389,0,0.003,242.21996609677524,Heavy contamination,Unsafe,1345.2775230791751,415.4089526997904,3.238441334335295,7.250603304167514,1.0,7.3640684465170265,-5.559372184883348,0.0007102501641513103,-0.2995018580622733,-0.2950442768451596,0.955483581596731,166.10967401505317,63.26544806646697,0.0043487992420105075,1.120238180890761
Hg,0.2029437336956298,100,4850.72212929743,-1492.1480997453173,5075.038041948982,-17.098609312260187,5713.3071623729575,3.984328626291573e-06,29.82247037591005,7.138093149787348,444.2470695835804,3,0.006,33.823955615938296,Heavy contamination,Unsafe,4850.72212929743,1492.1480997453173,3.2508315562792394,8.532286323279989,2.0,8.650728337448983,-5.399535861294073,0.00019704285795181346,-0.2984270300111035,-0.294017126061243,0.9558001514870602,212.87557150001965,62.23609866096787,0.02276369327783925,1.1257663716305333
Cd,0.7522900943758853,10000,1235.2739463878604,-379.1552744546888,1292.153413790889,-17.06335677510528,1350.8583277797602,1.819206099756668e-06,20.650950412340777,6.071348832721065,505.4787028175695,0,0.003,250.76336479196178,Heavy contamination,Unsafe,1235.2739463878604,379.1552744546888,3.257963239892169,7.16483902122381,4.0,7.209235463967205,-5.739879434586678,0.0007739019139108643,-0.29781175716806874,-0.29342899257010974,0.9559808713145314,125.37912368054577,83.25640918704501,0.002457489709804032,1.0454318452911862
Cd,0.1588207067190481,1000,6332.043800715141,-1879.024329096001,6604.96109931843,-16.528175345349553,7164.6370559590205,2.484258939214126e-06,20.996246067221524,7.027044153824967,433.9640691791469,0,0.003,52.94023557301603,Heavy contamination,Unsafe,6332.043800715141,1879.024329096001,3.3698572725549103,8.795727717244088,3.0,8.87705224851624,-5.6046283554162635,0.0001514013458918084,-0.28847107912330056,-0.28448681238862994,0.9586799536742993,147.54154817893945,61.75627470352167,0.017798813652490975,1.0847356930985195
Cu,1.630580675661221,10,519.1209461165481,-162.4741863706672,543.952587946551,-17.3790475055252,612.0505229261653,3.5369119952544592e-06,28.277423363353776,7.219040622619849,560.0820126650207,2,2.0,0.8152903378306104,Safe,Safe,519.1209461165481,162.4741863706672,3.195097988852426,6.30069879628551,1.0,6.418447351669085,-5.451252974267088,0.0018383955185749055,-0.30332159983192214,-0.2986918161084877,0.9543496209407815,204.1358679630705,77.5839951409192,0.0021647688362393183,1.1251909384888898
Cu,2.0789825847506744,100,462.3885576048945,-155.64525331064792,487.8817716230753,-18.603818995612496,498.7277450917129,1.0726318624283152e-06,21.574087704919243,6.382586348404215,496.8736302685316,2,2.0,1.0394912923753372,Low contamination,Unsafe,462.3885576048945,155.64525331064792,2.9707848313180207,6.192120684420454,2.0,6.214063440306311,-5.969144608323124,0.0020496769056797723,-0.3246978949185026,-0.31902248119016713,0.9477471479752759,137.69847766469277,77.84832089501029,0.0005349512700623981,1.0222307413362324
Cu,2.5814463296779278,100,409.2453962472583,-104.26017468412306,422.3173905663125,-14.292747164974958,487.9647695565056,3.889845241355816e-06,20.33520182640286,6.546659166249325,514.7725547925301,2,2.0,1.2907231648389639,Low contamination,Unsafe,409.2453962472583,104.26017468412306,3.925232213385633,6.0481222299957915,2.0,6.192290440982725,-5.409956042946408,0.00236788733387623,-0.24945549718389817,-0.2468763470628427,0.9690469902233363,133.1276354343503,78.63133571513228,0.0018981074368086606,1.155445597210683
Pb,0.9781287543981048,10000,1031.6190699047067,-316.1012188918731,1078.961484936316,-17.03573137718683,1117.405636030937,4.342142005072668e-06,22.57269496472033,7.280694692595474,429.4766535194697,1,0.01,97.81287543981047,Heavy contamination,Unsafe,1031.6190699047067,316.1012188918731,3.2635719454606824,6.984680657386354,4.0,7.019659410836427,-5.362195970543084,0.0009268171421875143,-0.2973296030172182,-0.29296802833562724,0.956122238196108,164.3449004272159,58.98841684671417,0.004851933948914873,1.0356306982504149
Hg,0.3316511193966541,10,3036.488961968424,-921.1499048635314,3173.134469792632,-16.875709276669077,3401.5251377078357,2.596566644375806e-06,28.47273756499361,6.936601895199916,464.9152671258735,3,0.006,55.275186566109014,Heavy contamination,Unsafe,3036.488961968424,921.1499048635314,3.2964113071422227,8.062790266223164,1.0,8.13227312250945,-5.585433301166986,0.00031514579968778823,-0.2945366904872261,-0.29029652340063916,0.9569367421629823,197.50404535486453,67.02348989936533,0.008832286712577986,1.0719763596810499
Hg,0.4486899867062842,1000,2239.8248042029145,-668.9583194676081,2337.588583713471,-16.62906881321699,2557.792444788434,2.7917696687086576e-06,30.550114317783983,7.716027315136653,482.01793665223056,3,0.006,74.78166445104736,Heavy contamination,Unsafe,2239.8248042029145,668.9583194676081,3.348227743070952,7.757302857018715,3.0,7.847290724933056,-5.553964880888231,0.0004277912747207987,-0.2902320023313424,-0.2861745322202538,0.958177508141638,235.72551655656858,62.46970324277866,0.0071407673662125136,1.0942012904272722
Hg,0.327138434682037,100,3120.7531729161374,-920.8109476824654,3253.7659976768487,-16.439247313116244,3714.065781107232,4.405128848866124e-06,23.0371784621207,6.684763532018376,561.6425661033006,3,0.006,54.52307244700617,Heavy contamination,Unsafe,3120.7531729161374,920.8109476824654,3.3891356100480636,8.087875661943812,2.0,8.220151663888023,-5.35594280688263,0.00030733617620741044,-0.28691899216350963,-0.2829985156707378,0.9591203470514841,153.99809046418363,84.01831468370605,0.01636093831894196,1.141466775348286
Hg,0.1548317636391352,10,6411.007247032951,-1875.6679034752344,6679.756283401079,-16.307888534468134,6724.654588171205,4.102618541304134e-06,30.023891558122617,6.533319316776402,554.0319046172306,3,0.006,25.805293939855865,Heavy contamination,Unsafe,6411.007247032951,1875.6679034752344,3.417986326444692,8.80698647620024,1.0,8.813684536264182,-5.386833016586859,0.00014970606075625982,-0.28462634897470174,-0.28079885311627195,0.9597666404332807,196.15567068148243,84.80098364544561,0.027588692597297102,1.0067215483416199
Cu,1.048801563113076,1000,919.6194551478276,-259.3411143911998,955.4882290745694,-15.748938318825047,1056.8507678831747,2.1525979561335e-06,22.73714496648844,7.969731880689686,444.5954949575363,2,2.0,0.524400781556538,Safe,Safe,919.6194551478276,259.3411143911998,3.5459840500148903,6.863268482557402,3.0,6.963994551319477,-5.666835369621962,0.0010465853681604173,-0.2748708273569975,-0.2714226156845308,0.962460266034379,181.20894911528595,55.785502142046504,0.002274974802883442,1.1060845499956322
Pb,1.8051483108513948,100,515.3381302706056,-131.40463975341478,531.827573429141,-14.304864578103205,569.0173563464617,2.2959044262461563e-06,29.201861399468857,7.822271540260167,523.2358163214016,1,0.01,180.5148310851395,Heavy contamination,Unsafe,515.3381302706056,131.40463975341478,3.9217651007889307,6.278197869818666,2.0,6.345666810095647,-5.638857075339344,0.0018803086751412231,-0.24966698593981046,-0.24708128408261767,0.9689947569806995,228.42488934768718,66.89052068334466,0.0013064094670467278,1.0699282714441767
Pb,0.5319041162755807,100,1921.54768280052,-586.5836288199131,2009.0858246664288,-16.975660807526104,2024.7567530523447,3.7155129295623863e-06,26.179395198436985,6.05798548999796,448.6912715543995,1,0.01,53.19041162755806,Heavy contamination,Unsafe,1921.54768280052,586.5836288199131,3.2758290350908825,7.605932698980571,2.0,7.613698614941273,-5.4298643519696475,0.0004977388161929487,-0.29628117379308994,-0.29196544100713284,0.9564288688959103,158.59439624905352,74.06608553637928,0.007523009895184742,1.0078000293429525
Cu,2.749403345368399,1000,408.7352066578434,-143.13792411674254,433.0738210537325,-19.3001111824931,472.22051808905786,3.252792369792645e-06,29.806992640004253,7.541457230613132,597.6494311380491,2,2.0,1.3747016726841994,Low contamination,Unsafe,408.7352066578434,143.13792411674254,2.8555339835837326,6.073214614229813,3.0,6.159561491453842,-5.487610163608843,0.0023090751538953416,-0.3368504861354808,-0.33051622415889015,0.9438003102180833,224.78816016779248,79.2485341735752,0.001536035298099617,1.0903926654790292
Pb,1.293405701040818,1000,795.7138809538513,-237.4675372937729,830.3923239114205,-16.616856466763565,883.5960676951146,1.6489182843859877e-06,34.92579128718871,6.220669547650406,590.4247756261741,1,0.01,129.3405701040818,Heavy contamination,Unsafe,795.7138809538513,237.4675372937729,3.3508322443505905,6.723101794049695,3.0,6.785131120132818,-5.782537564585525,0.0012042500529008595,-0.2900188566763359,-0.28597029434860727,0.9582384832337777,217.26180628780867,94.91338046629862,0.0014569777120340334,1.0640706112648333
Cu,2.878135397025792,10000,406.62185384015135,-119.84315784685349,423.91474909833846,-16.42176183725415,460.37513389862704,2.239719636916666e-06,34.06725447848843,6.054970389658742,512.6529441041241,2,2.0,1.439067698512896,Low contamination,Unsafe,406.62185384015135,119.84315784685349,3.392950095293524,6.051888558446629,4.0,6.134211451566597,-5.649612479813504,0.002358964867640555,-0.2866138130384381,-0.28270579898849574,0.9592066676260524,206.2762171242166,84.66646589965418,0.0010311112277408944,1.0860087668021776
