Metal_Type,Concentration_mg_L,Frequency_Hz,Real_Impedance_ohm,Imag_Impedance_ohm,Magnitude_ohm,Phase_deg,Charge_Transfer_Resistance_ohm,Double_Layer_Capacitance_F,Temperature_C,pH,Conductivity_uS_cm,Target
Hg,0.4486899867062842,1000,2239.8248042029145,-668.9583194676081,2337.588583713471,-16.62906881321699,2557.792444788434,2.7917696687086576e-06,30.550114317783983,7.716027315136653,482.01793665223056,3
Hg,0.327138434682037,100,3120.7531729161374,-920.8109476824654,3253.7659976768487,-16.439247313116244,3714.065781107232,4.405128848866124e-06,23.0371784621207,6.684763532018376,561.6425661033006,3
Hg,0.1548317636391352,10,6411.007247032951,-1875.6679034752344,6679.756283401079,-16.307888534468134,6724.654588171205,4.102618541304134e-06,30.023891558122617,6.533319316776402,554.0319046172306,3
Cu,1.048801563113076,1000,919.6194551478276,-259.3411143911998,955.4882290745694,-15.748938318825047,1056.8507678831747,2.1525979561335e-06,22.73714496648844,7.969731880689686,444.5954949575363,2
Pb,1.8051483108513948,100,515.3381302706056,-131.40463975341478,531.827573429141,-14.304864578103205,569.0173563464617,2.2959044262461563e-06,29.201861399468857,7.822271540260167,523.2358163214016,1
Pb,0.5319041162755807,100,1921.54768280052,-586.5836288199131,2009.0858246664288,-16.975660807526104,2024.7567530523447,3.7155129295623863e-06,26.179395198436985,6.05798548999796,448.6912715543995,1
Cu,2.749403345368399,1000,408.7352066578434,-143.13792411674254,433.0738210537325,-19.3001111824931,472.22051808905786,3.252792369792645e-06,29.806992640004253,7.541457230613132,597.6494311380491,2
Pb,1.293405701040818,1000,795.7138809538513,-237.4675372937729,830.3923239114205,-16.616856466763565,883.5960676951146,1.6489182843859877e-06,34.92579128718871,6.220669547650406,590.4247756261741,1
Cu,2.878135397025792,10000,406.62185384015135,-119.84315784685349,423.91474909833846,-16.42176183725415,460.37513389862704,2.239719636916666e-06,34.06725447848843,6.054970389658742,512.6529441041241,2
Hg,0.4094524560981494,10,2383.383953714786,-736.5854409417277,2494.6096252986044,-17.173777901648,2537.3033988119714,4.599933107514617e-06,20.064226367541558,6.547391031932698,539.7805143788286,3
Cu,2.995868221066675,10,417.1542586124301,-128.6521681818093,436.5421581661578,-17.13998765178982,457.3073543252539,3.752697746889054e-06,33.281581465434584,6.538691758122209,560.2860764417289,2
Hg,0.2078203169532695,10000,4888.011006577398,-1458.4169499388368,5100.944187137386,-16.61332163120043,5491.537881334802,4.943897270742079e-06,20.997361927621498,7.638637524693929,544.1996840089807,3
Hg,0.3952347300190071,100,2566.9231244558987,-762.8690694364079,2677.8841543220656,-16.55152913230864,2774.7981109542047,4.068050119923078e-06,34.29569879239767,7.42133449188567,539.9657382164842,3
Cd,0.4617378222483179,1000,2254.821128408897,-666.3605814549836,2351.2240951547333,-16.463834137749274,2344.2800472378435,4.767897728574361e-06,24.22738518649527,7.963218854664029,591.7108015899056,0
Cu,1.9597512406078177,1000,427.4376835791081,-122.4120104709836,444.62082008271045,-15.980951773153167,509.6459604733334,1.8647542954819016e-06,25.730522456169066,7.423025800623637,519.2912212614567,2
Cd,0.6647549168965331,1000,1478.09140055002,-453.5675933504072,1546.1169910836632,-17.059171924208485,1629.2905550695132,4.085939499267704e-06,21.37457307763592,6.836511106512096,527.2605343638111,0
Cu,2.7473542283726777,100,327.22138162009537,-108.44442701900547,344.7231154721779,-18.33571092297887,375.2522691330301,1.0808700805911896e-06,21.684091374933644,7.397855321890434,569.8537500876362,2
Cu,2.96816693839859,1000,372.98224013405166,-135.873700000093,396.9602169073504,-20.01617635262458,403.6449007447224,3.683040086846136e-06,30.901108478439795,7.998918134372804,533.9781735716814,2
Cd,0.7914460724780664,1000,1211.0029288586747,-327.6053778739005,1254.5331312150306,-15.137555406388442,1297.0160501318526,2.8771291124809657e-06,34.164983536224376,7.420283765125056,546.5865244035045,0
Cd,0.4759901039506004,10000,2138.758771021456,-641.358624014051,2232.8524279984126,-16.692632529775622,2312.9240139401286,2.3870402876802745e-06,29.16122742431464,7.523362711960637,446.83373723932846,0
Cu,1.8427140045541404,100,611.2046169568403,-187.8584462029491,639.4230834112451,-17.085213876341307,661.2251925418468,4.449617409172357e-06,30.737750232902165,7.876730030380519,474.2533848230142,2
Pb,1.6063734523833373,10,657.2803930301645,-215.7599595380985,691.787449439327,-18.173025720278535,728.8161771272701,4.417070770630123e-06,31.4295461689573,6.227302522623367,429.4602691423786,1
Hg,0.157449715595736,10000,6365.421633863636,-1850.9133321125355,6629.062734644404,-16.213175255795328,7057.304607410122,1.0892068195945743e-06,23.942214118294125,7.409568586895453,501.1530884669611,3
Cd,0.1994267018182552,10000,4964.979989454263,-1510.960557480737,5189.800391339127,-16.926242391854096,5458.65173896212,3.4380204897977247e-06,20.678444463803224,7.7016119159348975,491.1454801360493,0
Hg,0.2095799709383494,10,4729.105770551274,-1427.3086896775037,4939.802777914344,-16.794531152604208,4856.589017199543,2.471328897283826e-06,20.02809115878753,7.908757200441786,599.4325628558913,3
Pb,0.9308584874811224,10000,1136.75809205862,-332.7106908918647,1184.4472819397645,-16.31389910327588,1249.541654950086,2.662644006001797e-06,25.25973924431028,6.421938579423399,522.2417305631085,1
Pb,0.9444621806839852,100,1097.7710957534127,-317.32706941113827,1142.71512095216,-16.1227245947365,1134.8985705656037,4.328162956875105e-06,23.62196342298824,7.007858015448488,557.2889646388846,1
Pb,0.8504116265748649,1000,1173.9501626686792,-333.02640769629005,1220.272745189744,-15.837588972400953,1203.56558803673,2.2393590861107133e-06,20.934765875737785,7.361109695288963,466.8029341515309,1
Cd,0.1378838706727257,100,7231.584418446213,-2133.3231553784785,7539.68705493723,-16.436101148726646,8580.485665937209,4.772195242550481e-06,22.692924387405,6.494935459002675,566.3090662685593,0
Pb,0.5268109021001207,10,1796.9239295741154,-528.9540257630204,1873.1598890770076,-16.40265711936754,2014.333760538372,1.718535305488563e-06,21.867483474019217,7.200945726500548,523.0169932975367,1
Cd,0.9889501507624284,10,957.630691723704,-308.4098235164445,1006.068169147928,-17.851417584379334,1083.940275833054,3.650889693472711e-06,33.72317570926056,6.515157564995999,539.3984663196877,0
Pb,1.1416597006037934,10000,971.4887076692268,-296.5855148032037,1015.7525666814264,-16.976891584097654,1049.5563103775935,3.6884202680550592e-06,22.10400820188753,6.666914041063294,458.8861555898909,1
Hg,0.2229469912218567,100,4421.348360658884,-1320.2478607473877,4614.25787533695,-16.62602049105269,5225.1325959264905,2.008780645711673e-06,28.06472695981519,6.883037393021731,509.7276783391154,3
Hg,0.3558412772118814,100,2819.715702858199,-804.5501900273432,2932.251294350152,-15.925050930966052,3179.4722266181598,2.299002435868808e-06,28.896589326682463,7.058380197493134,526.8073946827217,3
Cu,1.4365077757301283,10,746.5048732578725,-251.9075715458477,787.862266135318,-18.646932564281336,861.3426844503684,4.339193970319762e-06,28.152341865629506,6.898731743250301,517.8189351633162,2
Hg,0.4774825327776014,100,2031.5713156232475,-585.4198645824696,2114.237079494854,-16.07492458604601,2181.323503641644,4.04722101981981e-06,21.48584651323982,6.986391039575858,583.0387422849133,3
Cu,2.5726900288311043,10,397.93373020520494,-115.78183167063314,414.4353823939695,-16.22275465127638,474.3379519603387,2.316383521259038e-06,24.781975426258267,6.597177512576585,579.6545328985108,2
Hg,0.0902349510405167,100,11129.076112419636,-3321.966223021301,11614.292690599965,-16.62006652426592,12955.271341512816,3.135826187739736e-06,20.7690549869473,6.317930188045262,594.1968115753741,3
Cd,0.4758226982064355,100,2102.248120622032,-632.714330519328,2195.3985024827234,-16.750236433879046,2461.2904309181104,1.246721185012382e-06,25.93504871144474,6.094699954653679,533.4856012013979,0
Hg,0.4456032384029741,100,2387.569013962992,-733.119356791424,2497.5887947655606,-17.069461478422273,2469.7941534205493,1.834983529594517e-06,22.82898396907388,6.391957444983335,594.3828260251369,3
Cu,2.8894640445828204,10,262.6549803433426,-63.77903851497613,270.2876328155924,-13.648647683046836,276.88894755077945,2.9432822354415967e-06,28.424487999265697,7.163887283011566,566.4956000063818,2
Cu,1.9348030224997397,10000,569.7849058334568,-157.8468512079246,591.2448455182488,-15.484266157472796,602.3340508743044,1.3438949411168464e-06,30.392125907736503,7.572230895606265,454.1664280679919,2
Pb,1.4201170838160615,100,695.5272042614505,-189.2170219636407,720.8059192796202,-15.218905609940576,733.212151192158,4.37332941956775e-06,27.9817979030706,6.338495194885789,485.4871339102594,1
Cd,0.2503305514828677,10,4033.314167696188,-1210.2603430164288,4210.980084637903,-16.70271207492912,4723.340139571824,3.872024840430592e-06,26.513550449170936,6.217110715545297,447.678488437802,0
Hg,0.4960258817616394,10,2038.0891917617053,-623.4231979949085,2131.3057118522624,-17.008144399939795,2051.0860030609388,4.77453468259398e-06,25.810001312850385,7.4985807210985,400.83943216611306,3
Pb,0.8475075520751651,100,1143.2726787300585,-374.1575435194943,1202.9406823709742,-18.121659982915745,1160.6732863807338,3.773867623856109e-06,32.62537652145505,6.610316661074579,437.6097506293817,1
Hg,0.4742292983608065,100,2120.134380987147,-619.6528489333559,2208.8321454187,-16.292087041205875,2236.281647924368,4.761605489048743e-06,23.29052097597905,7.902998878454705,400.8121172573751,3
Hg,0.3423409920465658,10000,2828.169080518648,-839.9729345067148,2950.270306040705,-16.541544572820662,2941.2239939056167,3.21805022276386e-06,31.013275092933032,7.428635941220746,543.967692270098,3
Pb,1.4116051923182886,10,738.5757511211394,-240.888377993621,776.8663661123146,-18.063869825517266,772.8249288167759,3.4008744442478782e-06,31.362234871101784,6.653512094486062,485.1068595442399,1
Pb,1.269032766524763,10,802.9096411263187,-251.64436580382807,841.4206906502862,-17.401802253291557,931.04489707083,4.907884218505044e-06,26.288000109061016,6.57908549558741,462.5149454155717,1
Pb,0.8460047175766381,1000,1213.959513986968,-373.5230304351192,1270.124858376101,-17.102600749140347,1350.6820912338333,3.568516587457042e-06,24.45950898838459,7.047396772542618,552.3441782190375,1
Pb,0.7647920480082624,10,1360.4508921785796,-437.79495629322224,1429.1574629078762,-17.83824625475372,1362.0210324394752,1.1231462754429863e-06,27.058122290689628,6.158289336556419,566.497354923929,1
Pb,0.830729313605263,10000,1222.1425345761654,-382.9964083049523,1280.7492430584325,-17.400006562432008,1327.0812571819604,3.895211106522093e-06,21.39820888839048,6.235353025290598,595.059907729976,1
Hg,0.1338972179649145,1000,7475.819537403263,-2265.422468357106,7811.531009728985,-16.858557469578212,8085.674358435306,4.621874768549663e-06,20.68895048343635,6.351715762632385,528.4027169350483,3
Pb,1.66937671035013,1000,554.9725512423274,-174.74134561045693,581.8325106920125,-17.47738219153895,567.6198506194539,4.182320999177307e-06,21.674047991778377,7.54944718660912,492.3057917080104,1
Cd,0.4151127332500571,1000,2373.3731241935457,-726.7858872246549,2482.1598885875906,-17.025891183494416,2694.320474035716,3.3353330905016904e-06,22.80717547193339,7.027714718538245,461.0528603214872,0
Cu,1.1156853531267927,100,955.6467858082992,-319.23413415982475,1007.5570513070248,-18.471914200532296,1089.83817008828,3.6852140523740655e-06,27.56265230507065,6.021134245548886,444.4636418428453,2
Pb,1.953653945211217,100,583.6781480135261,-134.6516397926682,599.008551330742,-12.990579540864667,667.8320718158936,4.960767157006688e-06,32.737049542416834,7.347033054944218,442.58519009652025,1
Pb,1.8256788274451383,10,535.8359456140238,-135.69996906362252,552.7518812414329,-14.211318032615903,613.9041292071698,1.3626483540373533e-06,23.534634979995303,6.847380357320994,481.8378749439597,1
Hg,0.4674885274378458,1000,2141.390064297723,-657.9974077197165,2240.203561295016,-17.08092774016594,2141.412688911312,3.6689793145329583e-06,34.02743016120167,7.021704729927595,598.357271057586,3
Pb,1.9923617339696529,10000,456.68616860568375,-131.55742264863292,475.257416617237,-16.07008522570997,543.8146560180865,2.133590778282376e-06,34.32361863402505,6.428232486825872,400.1707394874807,1
Pb,0.760842873829231,100,1372.9696634541522,-403.5415972398197,1431.045602861164,-16.379053816912975,1596.5464508310442,3.5603615863446806e-06,34.38356907267808,7.103564456788208,439.4411794462002,1
Pb,1.094363028353988,10000,947.0444008634848,-260.29160316357587,982.1633346263447,-15.368061115963116,1118.266561711076,3.430494303535756e-06,32.56344102014486,7.958306479502977,437.6785964807148,1
Hg,0.391207314066841,10000,2653.250298867339,-812.3471901934032,2774.8234368793164,-17.023047141449215,2661.5514144572826,1.6138273284326485e-06,25.45737561196581,6.146889382011523,543.4238971064585,3
Pb,1.5440309270806885,100,603.7392670662324,-159.2796444402212,624.3965949063743,-14.779138028328056,716.5007120484397,1.8269865829609568e-06,21.090258665039347,6.567834799328861,470.4969455196124,1
Cu,1.30779181267971,100,745.7473037917246,-234.68229722165609,781.8022906987804,-17.46848269864323,866.5268261738489,3.4865183121728548e-06,28.532280976497425,6.485995185721659,491.45216091836414,2
Hg,0.4171249062457779,100,2408.9357357737326,-749.397968815492,2522.809682626202,-17.280442172721667,2812.297158203146,1.5129197892150964e-06,28.380221659058503,6.497098621502359,429.724826093981,3
Cu,1.448881143673321,100,722.5122154503495,-202.27093344881487,750.2915646555192,-15.639857487753268,735.9924704521571,2.060723500521292e-06,32.74963650664393,6.757412715130755,480.9994077753896,2
Hg,0.1507179266701803,1000,6624.127421986871,-1961.4230581136128,6908.418380180675,-16.49417210339749,7602.87938201109,4.34098219095201e-06,34.93986576419158,7.636219569488335,420.6399623811672,3
Pb,1.3054616343401204,1000,722.364498964171,-164.9511702186376,740.9584049865795,-12.86288644562181,861.0464466763019,2.3083660240065545e-06,27.622359598402213,7.825717379928775,506.6086575777166,1
Cu,2.185879869683406,1000,501.5520587057054,-174.4601229135159,531.0280614797399,-19.179745114671,569.6174219092178,2.952240625078652e-06,25.178060465596765,6.404430174917946,419.5876730765712,2
Hg,0.311038793527015,1000,3251.0898148431893,-961.3485507513408,3390.247191608427,-16.472969316249586,3622.079089106726,4.764561340583362e-06,22.788525673344004,7.085899875896225,558.1016762346312,3
Cd,0.1823381536579794,10,5438.502001468156,-1639.7466253163177,5680.323319601569,-16.778428652795895,6467.063780485278,1.908596355347785e-06,20.07199737226056,7.27379794433096,513.320343508098,0
Pb,1.8161912939455704,1000,618.3749335680429,-169.84530585993224,641.2760609814898,-15.358349538230508,673.1551762135133,2.558504069432042e-06,27.636705387333187,7.04365494872769,544.7935747547034,1
Hg,0.1695200191649177,100,5957.518235046848,-1816.6652615386795,6228.34618445355,-16.958381611344635,6671.578704935034,3.425831102174183e-06,28.332780000538936,6.868152788393839,483.7032773305368,3
Cd,0.2165634291545237,10000,4624.299630866147,-1412.5452847738152,4835.228149484316,-16.985891892330745,5064.845829820828,4.021355718015889e-06,32.37407719726096,6.383951011718476,476.2982586484454,0
Hg,0.4499366359410397,1000,2226.5150683407664,-683.4720169655595,2329.056321243318,-17.064884482579203,2641.914302001457,4.606613546850821e-06,27.56865451839201,6.976438718398477,419.6417778097728,3
Cd,0.960086348406778,10,1069.275869631359,-319.203479976046,1115.9040043860032,-16.621576243804817,1085.5469821069294,4.661891950294061e-06,33.74702522999085,6.8024296554226575,504.7711214085645,0
Pb,1.793191425898176,100,514.5797926594112,-167.19556312859046,541.0607353553658,-17.99984421907926,566.1530070090619,4.106560297490492e-06,29.421252148571533,7.591126725004539,502.9004329714184,1
Cu,2.6190321494497564,10000,383.32201102694887,-101.81551642981628,396.6133678075091,-14.87506868200231,435.9868092892965,1.913323346373242e-06,32.60504357331625,7.527208718325991,493.62040888992107,2
Cd,0.6897177825751195,10000,1342.249196854976,-382.1368666913344,1395.5864327738711,-15.891594785785884,1554.8363798912662,1.0992373201702632e-06,22.22452602211621,6.267997362411341,548.1036729364898,0
Hg,0.2978858167741127,1000,3400.813762340176,-1008.2525778771454,3547.1266550432406,-16.513716517582697,3797.3613303259694,2.5350957214224955e-06,32.83004195453472,6.177038105126135,566.5008800064709,3
Pb,0.6304801398671152,10000,1508.0181224043915,-420.0296839281001,1565.421218995324,-15.5641642880689,1782.1510083864057,1.5661954039512933e-06,30.127157816657725,7.816307886455005,550.1579349897016,1
Cd,0.4676078917636288,1000,2213.714881748883,-655.797931935558,2308.810192546677,-16.50156351693436,2630.774978638281,3.841550589753193e-06,22.55349548657496,7.071016777928995,428.7731485613688,0
Hg,0.2177098326555412,1000,4576.763797599453,-1397.3670734866391,4785.331921307192,-16.978358957923437,4635.638576039875,3.644522347302868e-06,22.84645337219016,7.715601874565181,524.4119018564217,3
Hg,0.1668892026921468,100,5981.416036535693,-1767.157280689941,6237.001094822882,-16.459316398335083,6462.765156104152,1.1758865664858194e-06,33.89750928566332,6.116302241132802,416.0646211379066,3
Hg,0.3755390511598632,100,2631.452220945552,-801.5387909957856,2750.8190097842253,-16.94070477001199,2643.79847990742,4.346375116523805e-06,20.48323040675559,7.05303123304326,538.9244574880953,3
Cd,0.5462881615708938,10,1816.133788808922,-526.6317666489653,1890.947634520126,-16.170790332759005,1935.7867332197652,1.9949730651647293e-06,26.93802414943559,7.078853029152473,476.3678193122253,0
Cd,0.1729415943168831,100,5853.2255217107,-1724.492972182108,6101.977140166208,-16.416168946486973,6481.707672754875,2.728908301964169e-06,24.70212934901152,7.7214040650843,426.4997912532573,0
Cd,0.2981648817548302,100,3229.4585990061173,-959.7038194872272,3369.040555385602,-16.5504612589132,3817.733503059424,3.67173494182297e-06,29.97616159997642,6.195219996459415,572.4101713952256,0
Cu,2.366517527319192,1000,486.4101089932991,-175.84620896128268,517.220149778533,-19.87585610270593,568.764625045128,2.7176751474090136e-06,32.59444081353488,6.480891127351819,522.8016678077875,2
Cd,0.1685177735412701,100,5950.993341224022,-1803.6622456974023,6218.321256082452,-16.861316926117276,6102.743346110596,2.765151211199774e-06,25.40567182334854,6.813076627774026,470.9449935895055,0
Cd,0.8660862226438918,1000,1094.2683698682677,-301.8256216227776,1135.130816761721,-15.42014130489659,1114.6284091714583,1.2625119813429617e-06,26.40353130984256,7.731682950839884,406.1454359300999,0
Cd,0.5456318743125769,1000,1778.97188539133,-537.0740193302553,1858.2759405568213,-16.79913636121886,1988.629891116826,2.6057741970400155e-06,34.728766767521215,7.877766630141134,507.4620518007221,0
Cu,1.961173154653296,100,593.71853388758,-176.52408946743066,619.4049173552975,-16.55823945893747,656.9041943802719,4.059391572879934e-06,31.75874764518804,7.985449239187256,584.6451756972465,2
Cd,0.6331670061935658,10,1532.0867993522745,-444.4495514824102,1595.2508782515722,-16.17713942483633,1613.709532967781,4.660705348746392e-06,33.458061963976874,7.918386972917043,519.2759665404732,0
Hg,0.4211064346663171,10,2317.029030205323,-681.1822518199904,2415.084426476386,-16.38278343207488,2733.8408118491147,2.653988548253487e-06,26.581433309774447,6.011883511688708,594.3301209238987,3
Cd,0.4130282871119738,10000,2478.0074048283045,-737.8262252007821,2585.518949259112,-16.580889825282487,2937.6115707552576,2.694343307516316e-06,23.51114305976173,6.095416682907744,427.2902236540917,0
Hg,0.3551072686515786,10000,2832.97813975943,-854.0668093522384,2958.91791964426,-16.776648201034966,3061.0960204863864,3.810508425294609e-06,26.177951980796777,6.295213638315177,513.6610209189673,3
Hg,0.3045793837981059,100,3236.320029283061,-977.1493776995654,3380.619505102188,-16.800758567644305,3812.580828824744,4.771088004421107e-06,30.741378767472703,6.697724193540546,559.6250096012859,3
